Title,Year,First author,Prep/Area,Bleach/Processing,Gaussian mention,Dual illumination/ratiometry,Link
Normalization of Voltage-Sensitive Dye Signal with Functional Activation-Based Ratiometry,2008,Takagaki,In vivo rat cortex (photodiode array),Shows non-exponential bleaching; proposes functional normalization; bleaching kinetics depend on illumination; warns DF/F bias,No,Functional ratiometry (not dual-λ),https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0004041
Removing bleaching artifacts from voltage sensitive dye signals,2013,Fathiazar,Leech Retzius cells (VSD),ICA/PCA vs detrend; exponential fit of bleaching component; recover neuronal signal,No,No,https://pmc.ncbi.nlm.nih.gov/articles/PMC3704323/
Linear model decomposition for voltage-sensitive dye imaging,2011,Reynaud,In vivo primate visual cortex (VSDI),Blank-trial subtraction to cancel slow drifts from bleaching; linear model to decompose responses,No,No,https://www.sciencedirect.com/science/article/pii/S1053811910011237
Imaging Cortical Dynamics at High Spatial and Temporal Resolution using Voltage-Sensitive Dyes,1999,Shoham,In vivo primate V1 (macroscope),Heartbeat blank subtraction; standard VSDI processing that includes slow drift removal,No,No,https://www.sciencedirect.com/science/article/pii/S0896627300810272
Methods for voltage-sensitive dye imaging of rat cortical activity with high signal-to-noise ratio,2007,Lippert,In vivo rat cortex (photodiode array),Improved staining; off-line removal of pulsation; practical tips to limit bleaching,No,No,https://journals.physiology.org/doi/pdf/10.1152/jn.01169.2006
Improving voltage-sensitive dye imaging: with a little help from computational approaches,2017,Chemla,Review,Summarizes pipeline: blank subtraction to remove bleaching drifts and heartbeat; modeling and analysis tools,No,Discusses hemodynamic correction context,https://pmc.ncbi.nlm.nih.gov/articles/PMC5438098/
Comparison of Two Voltage-Sensitive Dyes and Their Suitability for Long-Term Imaging of Neuronal Activity,2013,Preuss,Crustacean STNS,Quantifies slow bleaching; RH795 vs Di-4-ANEPPS for long-term recordings,No,No,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0075678
In Vivo Voltage-Sensitive Dye Imaging of Subcortical Brain Function,2015,Tang,Mouse thalamus (GRIN/VSDI),Uses shutter to avoid photobleaching; baseline subtraction per-stimulus,No,No,https://www.nature.com/articles/srep17325
Intracellular Long Wavelength Voltage-Sensitive Dyes for Studying the Role of Electrical Signaling in Neuronal Growth and Development,2007,Zhou,In vitro (long-wavelength VSDs),Explains Gaussian contours of absorption spectrum; basis for ratiometric dual-λ approaches,Spectral Gaussian lineshape,Principles relevant to dual-λ ratiometry,https://pmc.ncbi.nlm.nih.gov/articles/PMC2001318/
Dual-wavelength ratiometric fluorescence measurements of membrane potential,1989,Montana,Cells and vesicles,Establishes ratio across absorption spectrum wings linear with voltage; method mitigates bleaching/staining changes,Spectral Gaussian context,"Yes, dual-λ ratiometry",https://pubmed.ncbi.nlm.nih.gov/2765500/
All‑optical electrophysiology for disease modeling and pharmacology,2017,Werley,GEVI/optogenetics (not VSD),Medium‑pass temporal filtering via difference of Gaussians; 'slow' Gaussian set 10× wider to remove slow drifts including bleaching,Yes (temporal Gaussians),Optical stimulation + imaging,https://pmc.ncbi.nlm.nih.gov/articles/PMC5721518/
Combined optogenetics and voltage sensitive dye imaging,2014,Willadt,Brain slices,"Describes dual‑illumination setup (473 nm for ChR2, 635 nm for VSD) and separation of channels",No,Yes (dual light paths),https://pmc.ncbi.nlm.nih.gov/articles/PMC4189389/
Estimating weak ratiometric signals in imaging data. I. Dual‑channel data,2007,Broder,Methodology (ratiometry),Statistical optimization for dual‑channel ratiometric signals; applicable to artifact reduction inc. bleaching,No,Yes (dual‑channel),https://opg.optica.org/abstract.cfm?uri=josaa-24-9-2921
Methods and tool development for robust biological voltage imaging (PhD thesis),2024,Brooks,Thesis (voltage imaging methods),Discusses Gaussian focus and illumination considerations; general processing context,Yes (optics/illumination),No,https://cohenweb.rc.fas.harvard.edu/Publications/Brooks_Dissertation_2024.pdf
Imaging the Brain in Action: Real‑Time Voltage‑Sensitive Dye Imaging (book chapter),2009,Ferezou,In vivo VSDI guide,Covers setup and artifacts; minimal heartbeat/respiration; general processing overview,No,Discusses advanced options,https://www.ncbi.nlm.nih.gov/books/NBK20229/
